contrast,dissimilarity,homogeneity,ASM,energy,correlation,entropy,y
177.7558824,2.523529412,0.75909612,0.469485745,0.685190299,0.966579318,0.232571062,0
182.6536415,2.708263305,0.709753237,0.357561799,0.597964714,0.966831568,0.205471434,0
191.3768908,2.75952381,0.739802353,0.423169464,0.650514768,0.96143182,0.20539282,0
212.237395,3.245098039,0.691418911,0.340595817,0.583605875,0.939578131,0.243737699,0
182.5637255,3.080392157,0.696865888,0.354556842,0.595446759,0.956536802,0.245516492,0
214.9759104,3.472268908,0.631603122,0.261859038,0.511721641,0.963154476,0.269339781,0
253.2997199,3.013865546,0.745720403,0.428342749,0.65447899,0.960500203,0.193728197,0
159.8287115,2.600420168,0.733057158,0.416959382,0.645723921,0.964245043,0.20255492,0
92.44285714,1.880252101,0.752050386,0.416793786,0.645595683,0.970721304,0.167523131,0
240.1693277,3.600280112,0.628120119,0.245100344,0.495076099,0.949535767,0.220835799,0
212.6787115,2.908963585,0.704247407,0.350744278,0.592236674,0.960341843,0.192757274,0
154.8792717,2.55,0.746761819,0.436152363,0.660418324,0.966602706,0.233028813,0
209.232493,3.246498599,0.668588077,0.313873128,0.560243811,0.955575538,0.230375234,0
255.9380952,3.446778711,0.703347354,0.380649358,0.616967874,0.948847174,0.273142886,0
225.9771709,3.23557423,0.706312418,0.377373606,0.61430742,0.950035261,0.246960958,0
250.5665266,3.566246499,0.653457828,0.285408261,0.534236148,0.94571834,0.222156078,0
335.6408964,4.002380952,0.659226233,0.303419015,0.550834834,0.945625185,0.2373939,0
203.6064426,2.983053221,0.704710195,0.372978917,0.610719999,0.954179981,0.217048549,0
259.9742297,3.174089636,0.740704673,0.453038039,0.673081005,0.957309106,0.237076923,0
127.3721289,2.308543417,0.730062024,0.394777852,0.628313498,0.971758988,0.192100555,0
160.692437,2.742156863,0.703188987,0.366876398,0.605703226,0.949232335,0.250593702,0
231.7054622,3.378711485,0.700572329,0.375857716,0.613072358,0.948216816,0.256816563,0
178.7887955,2.093137255,0.819939912,0.576355787,0.759180998,0.96393084,0.172532953,0
